GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons IO,org.apache.commons.io.monitor,FileEntry,50,123,9,15,16,26,18,14,10,10
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationListenerAdaptor,0,11,0,0,0,9,0,9,0,9
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationMonitor,6,179,1,25,4,53,1,24,0,12
Apache Commons IO,org.apache.commons.io.monitor,FileAlterationObserver,48,515,10,60,10,113,11,47,3,20
Apache Commons IO,org.apache.commons.io.serialization,WildcardClassNameMatcher,0,11,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io.serialization,ValidatingObjectInputStream,6,224,0,18,2,38,0,21,0,12
Apache Commons IO,org.apache.commons.io.serialization,FullClassNameMatcher,0,16,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io.serialization,RegexpClassNameMatcher,0,24,0,2,0,8,0,4,0,3
Apache Commons IO,org.apache.commons.io.input,UnixLineEndingInputStream,5,111,0,24,1,34,1,17,1,5
Apache Commons IO,org.apache.commons.io.input,ReversedLinesFileReader.FilePart,52,284,5,39,6,57,5,22,0,5
Apache Commons IO,org.apache.commons.io.input,ClosedInputStream,0,10,0,0,0,3,0,3,0,3
Apache Commons IO,org.apache.commons.io.input,CountingInputStream,0,86,0,6,0,20,0,10,0,7
Apache Commons IO,org.apache.commons.io.input,CharSequenceReader,43,129,6,16,4,33,7,13,1,8
Apache Commons IO,org.apache.commons.io.input,BOMInputStream.new Comparator() {...},0,21,0,4,0,8,0,4,0,2
Apache Commons IO,org.apache.commons.io.input,ReversedLinesFileReader,12,222,0,32,4,47,2,20,2,4
Apache Commons IO,org.apache.commons.io.input,AutoCloseInputStream,5,19,0,2,3,8,1,4,1,3
Apache Commons IO,org.apache.commons.io.input,SwappedDataInputStream,4,98,1,5,1,25,1,18,0,16
Apache Commons IO,org.apache.commons.io.input,BoundedReader,0,96,0,10,0,27,0,11,0,6
Apache Commons IO,org.apache.commons.io.input,XmlStreamReader,107,1269,12,148,23,181,13,91,4,20
Apache Commons IO,org.apache.commons.io.input,ProxyReader,97,56,4,2,38,19,10,7,7,7
Apache Commons IO,org.apache.commons.io.input,BrokenInputStream,7,21,0,0,2,8,1,6,1,6
Apache Commons IO,org.apache.commons.io.input,TaggedInputStream,0,24,0,0,0,7,0,4,0,4
Apache Commons IO,org.apache.commons.io.input,ReaderInputStream,39,221,7,29,5,57,9,21,2,10
Apache Commons IO,org.apache.commons.io.input,CloseShieldInputStream,0,10,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io.input,WindowsLineEndingInputStream,5,129,0,26,1,42,1,18,1,5
Apache Commons IO,org.apache.commons.io.input,BoundedInputStream,84,107,9,11,21,23,14,10,9,5
Apache Commons IO,org.apache.commons.io.input,NullReader,5,253,0,26,2,61,2,26,2,13
Apache Commons IO,org.apache.commons.io.input,TailerListenerAdapter,6,3,0,0,6,1,6,1,6,1
Apache Commons IO,org.apache.commons.io.input,BOMInputStream,0,355,0,56,0,73,0,46,0,18
Apache Commons IO,org.apache.commons.io.input,XmlStreamReaderException,0,43,0,0,0,14,0,7,0,7
Apache Commons IO,org.apache.commons.io.input,Tailer,57,385,3,34,16,108,10,31,7,15
Apache Commons IO,org.apache.commons.io.input,CharSequenceInputStream,75,289,12,34,7,75,12,25,1,13
Apache Commons IO,org.apache.commons.io.input,ClassLoaderObjectInputStream,10,41,0,2,4,8,0,4,0,3
Apache Commons IO,org.apache.commons.io.input,NullInputStream,7,272,1,29,3,66,3,28,2,14
Apache Commons IO,org.apache.commons.io.input,DemuxInputStream,13,30,3,1,5,8,3,3,1,3
Apache Commons IO,org.apache.commons.io.input,ProxyInputStream,38,85,1,3,17,30,2,13,1,12
Apache Commons IO,org.apache.commons.io.input,TeeInputStream,9,60,2,6,4,18,2,8,1,5
Apache Commons IO,org.apache.commons.io.output,ProxyOutputStream,17,66,0,2,7,30,0,10,0,9
Apache Commons IO,org.apache.commons.io.output,XmlStreamWriter,48,167,8,16,11,42,10,13,3,8
Apache Commons IO,org.apache.commons.io.output,NullOutputStream,0,11,0,0,0,5,0,5,0,5
Apache Commons IO,org.apache.commons.io.output,TeeOutputStream,0,47,0,0,0,18,0,6,0,6
Apache Commons IO,org.apache.commons.io.output,ClosedOutputStream,0,22,0,0,0,3,0,3,0,3
Apache Commons IO,org.apache.commons.io.output,ChunkedWriter,0,45,0,4,0,16,0,5,0,3
Apache Commons IO,org.apache.commons.io.output,NullWriter,4,17,0,0,2,11,2,10,2,10
Apache Commons IO,org.apache.commons.io.output,ByteArrayOutputStream,20,496,10,36,3,116,10,31,0,18
Apache Commons IO,org.apache.commons.io.output,CountingOutputStream,0,74,0,4,0,17,0,8,0,6
Apache Commons IO,org.apache.commons.io.output,ThresholdingOutputStream,14,99,0,6,6,28,3,12,3,9
Apache Commons IO,org.apache.commons.io.output,TaggedOutputStream,0,24,0,0,0,7,0,4,0,4
Apache Commons IO,org.apache.commons.io.output,FileWriterWithEncoding,39,180,2,10,12,56,4,22,3,17
Apache Commons IO,org.apache.commons.io.output,ProxyWriter,30,161,0,6,10,70,0,17,0,14
Apache Commons IO,org.apache.commons.io.output,CloseShieldOutputStream,0,10,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io.output,BrokenOutputStream,7,15,0,0,2,6,1,4,1,4
Apache Commons IO,org.apache.commons.io.output,DeferredFileOutputStream,5,138,0,12,3,40,0,16,0,10
Apache Commons IO,org.apache.commons.io.output,LockableFileWriter,132,150,7,9,42,41,17,11,12,8
Apache Commons IO,org.apache.commons.io.output,WriterOutputStream,37,233,2,16,10,67,5,19,3,12
Apache Commons IO,org.apache.commons.io.output,StringBuilderWriter,0,79,2,4,0,25,2,13,0,12
Apache Commons IO,org.apache.commons.io.output,AppendableOutputStream,0,16,0,0,0,6,0,3,0,3
Apache Commons IO,org.apache.commons.io.output,DemuxOutputStream,22,31,5,1,8,9,5,3,2,3
Apache Commons IO,org.apache.commons.io.output,ChunkedOutputStream,0,45,0,4,0,16,0,5,0,3
Apache Commons IO,org.apache.commons.io,FileExistsException,16,4,0,0,4,2,2,1,2,1
Apache Commons IO,org.apache.commons.io,DirectoryWalker,1,220,0,26,1,56,1,28,1,15
Apache Commons IO,org.apache.commons.io,EndianUtils,0,749,0,4,0,87,0,33,0,31
Apache Commons IO,org.apache.commons.io,FileUtils,487,2690,83,333,82,612,75,251,5,113
Apache Commons IO,org.apache.commons.io,ByteOrderMark,0,295,0,24,0,46,0,21,0,9
Apache Commons IO,org.apache.commons.io,FilenameUtils,20,1331,10,292,8,314,11,181,1,40
Apache Commons IO,org.apache.commons.io,FileSystemUtils,126,591,32,61,27,122,22,40,2,12
Apache Commons IO,org.apache.commons.io,IOCase,6,210,1,29,1,31,2,26,1,12
Apache Commons IO,org.apache.commons.io,DirectoryWalker.CancelException,0,22,0,0,0,8,0,4,0,4
Apache Commons IO,org.apache.commons.io,FileCleaningTracker.Reaper,0,50,0,6,0,15,0,5,0,2
Apache Commons IO,org.apache.commons.io,LineIterator,0,107,0,16,0,38,0,16,0,8
Apache Commons IO,org.apache.commons.io,Charsets,3,76,0,4,1,16,1,6,1,4
Apache Commons IO,org.apache.commons.io,ThreadMonitor,0,70,1,5,0,26,1,8,0,6
Apache Commons IO,org.apache.commons.io,FileUtils.new FileFilter() {...},11,0,0,0,2,0,2,0,2,0
Apache Commons IO,org.apache.commons.io,Java7Support,174,131,2,0,41,22,6,3,5,3
Apache Commons IO,org.apache.commons.io,FileCleaningTracker.Tracker,0,27,0,2,0,6,0,4,0,3
Apache Commons IO,org.apache.commons.io,FileCleaner,31,7,0,0,12,2,7,2,7,2
Apache Commons IO,org.apache.commons.io,FileDeleteStrategy.ForceFileDeleteStrategy,0,8,0,0,0,4,0,2,0,2
Apache Commons IO,org.apache.commons.io,FileDeleteStrategy,3,62,0,8,2,13,0,10,0,6
Apache Commons IO,org.apache.commons.io,IOUtils,179,1581,25,197,48,396,32,204,14,111
Apache Commons IO,org.apache.commons.io,IOExceptionWithCause,4,5,0,0,2,2,1,1,1,1
Apache Commons IO,org.apache.commons.io,HexDump,3,298,0,24,2,37,1,16,1,4
Apache Commons IO,org.apache.commons.io,FileCleaningTracker,3,117,1,9,1,31,2,12,1,8
Apache Commons IO,org.apache.commons.io,TaggedIOException,3,37,1,7,1,9,2,7,1,4
Apache Commons IO,org.apache.commons.io,CopyUtils,31,135,0,4,9,40,2,13,2,11
Apache Commons IO,org.apache.commons.io.filefilter,AbstractFileFilter,0,22,0,0,0,4,0,4,0,4
Apache Commons IO,org.apache.commons.io.filefilter,PrefixFileFilter,6,191,4,22,0,44,4,18,0,9
Apache Commons IO,org.apache.commons.io.filefilter,HiddenFileFilter,0,16,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.filefilter,DelegateFileFilter,5,78,1,9,1,19,1,9,0,5
Apache Commons IO,org.apache.commons.io.filefilter,WildcardFileFilter,2,195,2,24,0,44,2,20,0,9
Apache Commons IO,org.apache.commons.io.filefilter,TrueFileFilter,0,14,0,0,0,6,0,4,0,4
Apache Commons IO,org.apache.commons.io.filefilter,RegexFileFilter,0,72,2,10,0,24,2,9,0,5
Apache Commons IO,org.apache.commons.io.filefilter,NotFileFilter,0,48,0,6,0,8,0,7,0,4
Apache Commons IO,org.apache.commons.io.filefilter,SizeFileFilter,0,68,0,10,0,12,0,9,0,4
Apache Commons IO,org.apache.commons.io.filefilter,SuffixFileFilter,6,191,4,22,0,44,4,18,0,9
Apache Commons IO,org.apache.commons.io.filefilter,AndFileFilter,11,167,2,24,3,44,3,20,1,9
Apache Commons IO,org.apache.commons.io.filefilter,MagicNumberFileFilter,1,172,2,18,1,43,2,14,0,6
Apache Commons IO,org.apache.commons.io.filefilter,WildcardFilter,4,122,2,18,2,26,2,13,0,5
Apache Commons IO,org.apache.commons.io.filefilter,FileFileFilter,0,11,0,0,0,4,0,3,0,3
Apache Commons IO,org.apache.commons.io.filefilter,AgeFileFilter,0,76,0,6,0,18,0,11,0,8
Apache Commons IO,org.apache.commons.io.filefilter,DirectoryFileFilter,0,13,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.filefilter,FalseFileFilter,0,14,0,0,0,6,0,4,0,4
Apache Commons IO,org.apache.commons.io.filefilter,CanWriteFileFilter,0,16,0,0,0,5,0,3,0,3
Apache Commons IO,org.apache.commons.io.filefilter,FileFilterUtils,17,415,1,33,3,84,3,58,2,42
